brand,type,type_url,car_type,series,url
AC Schnitzer,AC Schnitzer,/price/brand-117-305.html#pvareaid=2042205,轿车,AC Schnitzer M3 (停售),https://car.autohome.com.cn//price/series-3895-0-3.html#pvareaid=2042205
AC Schnitzer,AC Schnitzer,/price/brand-117-305.html#pvareaid=2042205,SUV,AC Schnitzer X5 (停售),https://car.autohome.com.cn//price/series-2097-0-3.html#pvareaid=2042205
ALPINA,ALPINA,/price/brand-276-460.html#pvareaid=2042205,轿车,ALPINA B4,https://car.autohome.com.cn//price/series-4212.html#pvareaid=2042205
AUXUN傲旋,车驰汽车,/price/brand-378-541.html#pvareaid=2042205,MPV,傲旋V-Class,https://car.autohome.com.cn//price/series-5329.html#pvareaid=2042205
阿尔法・罗密欧,阿尔法・罗密欧,/price/brand-34-86.html#pvareaid=2042205,轿车,Giulia,https://car.autohome.com.cn//price/series-3825.html#pvareaid=2042205
阿尔法・罗密欧,阿尔法・罗密欧,/price/brand-34-86.html#pvareaid=2042205,轿车,ALFA 156 (停售),https://car.autohome.com.cn//price/series-179-0-3.html#pvareaid=2042205
阿尔法・罗密欧,阿尔法・罗密欧,/price/brand-34-86.html#pvareaid=2042205,SUV,Stelvio,https://car.autohome.com.cn//price/series-4196.html#pvareaid=2042205
阿尔法・罗密欧,阿尔法・罗密欧,/price/brand-34-86.html#pvareaid=2042205,跑车,ALFA GT (停售),https://car.autohome.com.cn//price/series-401-0-3.html#pvareaid=2042205
阿斯顿・马丁,阿斯顿・马丁,/price/brand-35-108.html#pvareaid=2042205,SUV,阿斯顿・马丁DBX,https://car.autohome.com.cn//price/series-3742.html#pvareaid=2042205
阿斯顿・马丁,阿斯顿・马丁,/price/brand-35-108.html#pvareaid=2042205,跑车,V8 Vantage,https://car.autohome.com.cn//price/series-385.html#pvareaid=2042205
阿斯顿・马丁,阿斯顿・马丁,/price/brand-35-108.html#pvareaid=2042205,跑车,阿斯顿・马丁DB11,https://car.autohome.com.cn//price/series-3891.html#pvareaid=2042205
阿斯顿・马丁,阿斯顿・马丁,/price/brand-35-108.html#pvareaid=2042205,跑车,阿斯顿・马丁DBS,https://car.autohome.com.cn//price/series-582.html#pvareaid=2042205
